iter	MAE
0	0.6124357623
1	0.6111115512
2	0.6097567425
3	0.6085394384
4	0.6072417534
5	0.6059489185
6	0.6047479892
7	0.6035766245
8	8	3.552943611e-07
013457425
10	0.6001243517
11	0.598837831
12	0.5977870794
13	0.5966674707
14	0.5953670853
15	0.5941566166
16	0.5929854827
17	0.5917948573
18	0.5905305876
19	0.5892554412
20	0.5880238184
21	0.5867974763
22	0.5856479897
23	0.5845688807
24	0.5835044042
25	0.5824579998
26	0.5814448753
27	0.5805431702
28	0.5795294564
29	0.5785432557
30	0.5773881011
31	0.5764306475
32	0.5752417914
33	0.5739935667
34	0.5728874009
35	0.5719383874
36	0.5707440516
37	0.5696379371
38	0.5686029217
39	0.567510536
40	0.5665667265
41	0.5656809113
42	0.5647049106
43	0.5635905235
44	0.5625117252
45	0.5615081283
46	0.5604392897
47	0.5594364248
48	0.5585719886
49	0.5574191311
50	0.5562914425
51	0.5554501606
52	0.5543712762
53	0.5532189916
54	0.5523177997
55	0.551324612
56	0.5502378392
57	0.5492520485
58	0.5483924884
59	0.5472391479
60	0.5460485766
61	0.5451488606
62	0.5441108856
63	0.5430919814
64	0.5420938973
65	0.5411219924
66	0.5401329807
67	0.5390743697
68	0.5383458212
69	0.5372102453
70	0.5361758964
71	0.5351364082
72	0.5341204476
73	0.5331968303
74	0.53218341
75	0.5311499756
76	0.5302565567
77	0.5293354214
78	0.5283271257
79	0.527423953
80	0.5265092111
81	0.5254982442
82	0.524708745
83	0.5237115975
84	0.522909508
85	0.5218830217
86	0.5210116438
87	0.5201477906
88	0.5193030331
89	0.5185599504
90	0.5177026442
91	0.5168892808
92	0.5159715069
93	0.5150652444
94	0.5142637602
95	0.5134733241
96	0.512741083
97	0.511861247
98	0.510928971
99	0.5100762633
100	0.5091535579
101	0.5082912149
102	0.5074028449
103	0.5065808612
104	0.5056186187
105	0.5047706278
106	0.5040787363
107	0.5031322265
108	0.5022623064
109	0.5015429386
110	0.5009105393
111	0.499967606
112	0.4993248845
113	0.4983828022
114	0.4976994873
115	0.4968465615
116	0.4958638919
117	0.4951531718
118	0.4943452077
119	0.4936444693
120	0.4927367903
121	0.4920032167
122	0.4913155944
123	0.4905949593
124	0.4897524355
125	0.4889763982
126	0.4882345007
127	0.4874290237
128	0.4865886623
129	0.4857313402
130	0.4849216165
131	0.484228288
132	0.4834927869
133	0.4827022246
134	0.481920508
135	0.4812466273
136	0.4805429454
137	0.4799547638
138	0.4792315959
139	0.4785146065
140	0.4777387178
141	0.4769757146
142	0.4763063456
143	0.4755435201
144	0.4749305709
145	0.474192022
146	0.4734563054
147	0.4727496479
148	0.4722707504
149	0.4714739576
150	0.4707210448
151	0.4700694029
152	0.4692689132
153	0.4685349529
154	0.4678289533
155	0.4672157723
156	0.4665524794
157	0.4659369183
158	0.4651421208
159	0.4645462649
160	0.4638354767
161	0.4630601461
162	0.4625439873
163	0.4619770032
164	0.461325456
165	0.4606315209
166	0.4599235935
167	0.4594607062
168	0.4587185355
169	0.4580205345
170	0.4572658734
171	0.4565291073
172	0.4559579268
173	0.4553007935
174	0.4546367436
175	0.4540545557
176	0.4533569913
177	0.4527091593
178	0.45216029
179	0.4515128572
180	0.4510435178
181	0.4504126476
182	0.4498805566
183	0.4492664949
184	0.4488384997
185	0.4480775402
186	0.447412658
187	0.4467929406
188	0.4460029248
189	0.4453311931
190	0.4445989099
191	0.4440634804
192	0.4435744278
193	0.4429593597
194	0.4422754829
195	0.4416484036
196	0.4409270806
197	0.4402856209
198	0.4396800946
199	0.4391250275
200	0.4385510624
201	0.4379098905
202	0.437241259
203	0.4366520244
204	0.4360167616
205	0.4353610601
206	0.434671957
207	0.4339316842
208	0.4334152907
209	0.4326724865
210	0.4320680597
211	0.4316101222
212	0.4309662709
213	0.4303662209
214	0.4296666119
215	0.4290355354
216	0.4284117706
217	0.4277496032
218	0.4272777516
219	0.4267836018
220	0.4262923375
221	0.4257188524
222	0.4251932569
223	0.4247494995
224	0.4242864493
225	0.4236602975
226	0.4231168821
227	0.422696443
228	0.4220672323
229	0.4215465801
230	0.4211260093
231	0.4207462414
232	0.4202378758
233	0.4197514696
234	0.4191637631
235	0.4186594246
236	0.4180154375
237	0.4175132947
238	0.4169280007
239	0.4164080886
240	0.4158575044
241	0.4153538406
242	0.4147103783
243	0.4144045193
244	0.4138339398
245	0.4132214591
246	0.4126706842
247	0.4120544188
248	0.4115446024
249	0.4109116536
250	0.4103591761
251	0.409739513
252	0.4092450792
253	0.4087325642
254	0.4081546028
255	0.4076393549
256	0.407125007
257	0.4064747468
258	0.4059724154
259	0.4054213286
260	0.4047591927
261	0.4041962671
262	0.4036888198
263	0.4031323982
264	0.4025421592
265	0.4020082119
266	0.4014514327
267	0.4009460148
268	0.4005612767
269	0.4001261258
270	0.3996096563
271	0.3990811157
272	0.3985562624
273	0.3980943153
274	0.3975194441
275	0.3969887736
276	0.3966006688
277	0.3960981728
278	0.3956660423
279	0.3951447889
280	0.3946954796
281	0.394115096
282	0.393589634
283	0.3930568156
284	0.3924753697
285	0.3919810906
286	0.391543294
287	0.391076307
288	0.390627789
289	0.390091345
290	0.3895419955
291	0.3891294223
292	0.3886122125
293	0.3882702065
294	0.3877516299
295	0.3872255574
296	0.3868024807
297	0.3863341685
298	0.3858074779
299	0.3853170919
300	0.384775781
301	0.3844006298
302	0.3838494622
303	0.3833957202
304	0.382928406
305	0.3824695295
306	0.3820175858
307	0.3814864497
308	0.3810073741
309	0.3805354808
310	0.3800185914
311	0.3795473192
312	0.3790425727
313	0.3785478513
314	0.3780144573
315	0.3775160117
316	0.3769927073
317	0.3765566251
318	0.3761312319
319	0.3756913004
320	0.3752719052
321	0.3749072942
322	0.3744598102
323	0.3739858228
324	0.3736078384
325	0.3731888616
326	0.3728313018
327	0.3724849345
328	0.3720446062
329	0.3714867266
330	0.3710650208
331	0.3705932383
332	0.3702351549
333	0.3698170742
334	0.3693460832
335	0.3688749563
336	0.3683527403
337	0.3680234625
338	0.3675566131
339	0.3671383888
340	0.3667018259
341	0.3662896116
342	0.3658445913
343	0.3654152171
344	0.364861205
345	0.3646439089
346	0.3642517501
347	0.3637527864
348	0.3633181611
349	0.362826368
350	0.3625837371
351	0.3621755689
352	0.3617614991
353	0.3612676141
354	0.3608960949
355	0.3604029876
356	0.3599271877
357	0.35951899
358	0.3590166797
359	0.358627759
360	0.3581639166
361	0.3577478468
362	0.3572867535
363	0.3569616202
364	0.3566275692
365	0.3561350773
366	0.355762254
367	0.3553344919
368	0.3548901122
369	0.3545485241
370	0.3541297705
371	0.3536885015
372	0.3533730866
373	0.3530134115
374	0.3526890393
375	0.3523337912
376	0.3519215577
377	0.3515053818
378	0.3511454851
379	0.3507220055
380	0.3503429178
381	0.3499206492
382	0.3496429781
383	0.349163198
384	0.3488545737
385	0.348441321
386	0.3480672567
387	0.3477096195
388	0.3473925987
389	0.3470156883
390	0.3465830429
391	0.3461642827
392	0.3457945721
393	0.3454089494
394	0.3450550024
395	0.3446922463
396	0.3442489732
397	0.3438889677
398	0.3435523993
399	0.3431802348
400	0.3429492057
401	0.3425896331
402	0.3422744168
403	0.3420202251
404	0.3417327705
405	0.3413986471
406	0.3410330392
407	0.3406912507
408	0.3403879476
409	0.3400798876
410	0.3398573386
411	0.3394072124
412	0.3390268502
413	0.338695723
414	0.3383450814
415	0.3379896275
416	0.3376739697
417	0.3373185008
418	0.3369925846
419	0.3367490226
420	0.3364088647
421	0.3360820793
422	0.3357376826
423	0.3354241791
424	0.3350720821
425	0.3348081501
426	0.3345025303
427	0.3343404291
428	0.3339410195
429	0.3335322798
430	0.3332757894
431	0.3330752942
432	0.3326652938
433	0.3322348757
434	0.3320258158
435	0.3316402494
436	0.3312684235
437	0.3309377883
438	0.3305761294
439	0.3302052601
440	0.3298474794
441	0.3294690627
442	0.3291606278
443	0.3287676329
444	0.3286428465
445	0.3283488054
446	0.3280977643
447	0.327867205
448	0.3275417579
449	0.327153137
450	0.3268848132
451	0.3266257551
452	0.3263616494
453	0.3260890782
454	0.3257816682
455	0.325380195
456	0.3250140697
457	0.3246232776
458	0.3243290271
459	0.3241602171
460	0.323902023
461	0.3235976173
462	0.3232978553
463	0.3229754038
464	0.3226968325
465	0.3224626884
466	0.3221732253
467	0.3219633416
468	0.3216430947
469	0.3213422069
470	0.3211544343
471	0.3207841641
472	0.3205242434
473	0.3202312633
474	0.3199541946
475	0.3196284974
476	0.3192795059
477	0.3190016989
478	0.3187396235
479	0.3184914329
480	0.3182461328
481	0.3179873458
482	0.3178022088
483	0.3175563989
484	0.3172430554
485	0.3170512033
486	0.3167397325
487	0.3164229511
488	0.3161403831
489	0.3158968491
490	0.3156006959
491	0.3152968048
492	0.3149736826
493	0.3145728827
494	0.3143061534
495	0.3139943036
496	0.3137925186
497	0.3134277435
498	0.3132204237
499	0.3129393583
500	0.312620632
501	0.3123830304
502	0.312116512
503	0.311827453
504	0.3115138882
505	0.3113096228
506	0.3110247039
507	0.3108146207
508	0.3106074297
509	0.3103970664
510	0.3101729224
511	0.3100166957
512	0.3097399459
513	0.3093890066
514	0.3090558147
515	0.3088116332
516	0.3084948821
517	0.308268853
518	0.3080234639
519	0.3077688187
520	0.3074784578
521	0.3071826901
522	0.3069301685
523	0.306697051
524	0.3064788314
525	0.3061961375
526	0.3059197706
527	0.3056491923
528	0.3053884798
529	0.3051212446
530	0.3048563565
531	0.3045452396
532	0.304349081
533	0.3040098143
534	0.3037841817
535	0.303464064
536	0.3032283854
537	0.303019838
538	0.3028169914
539	0.3025474199
540	0.3023288045
541	0.3021415226
542	0.3018698091
543	0.301664596
544	0.3013321798
545	0.3010928978
546	0.3008575382
547	0.3005747653
548	0.3003031247
549	0.2999904689
550	0.2997255023
551	0.2995138495
552	0.2993264203
553	0.2990394349
554	0.2987876722
555	0.2984893631
556	0.2982505922
557	0.2979384538
558	0.2976641426
559	0.2973669837
560	0.2970864224
561	0.2967373233
562	0.296463977
563	0.2961475478
564	0.2959899426
565	0.2957202096
566	0.2955207642
567	0.2952737791
568	0.2950362436
569	0.2947727004
570	0.2945305729
571	0.2943095755
572	0.2940259376
573	0.2938155529
574	0.2935534544
575	0.2932595788
576	0.2929605572
577	0.2926257724
578	0.292336822
579	0.2920749755
580	0.2918020611
581	0.291537517
582	0.2913402302
583	0.2911794479
584	0.290961006
585	0.2907498571
586	0.2905294455
587	0.2902913692
588	0.2901617354
589	0.2899003642
590	0.2896590462
591	0.289460659
592	0.2892323232
593	0.288945396
594	0.2887165669
595	0.2884650854
596	0.2882525842
597	0.2881654336
598	0.2879390947
599	0.2876565497
600	0.2874749225
601	0.2871954058
602	0.2869333057
603	0.2867334303
604	0.2865355098
605	0.2863214628
606	0.2860355434
607	0.2857755256
608	0.2855378392
609	0.2853512034
610	0.2850706595
611	0.2849078775
612	0.2847087729
613	0.2844549215
614	0.2842895156
615	0.2840013585
616	0.2837419643
617	0.2835521256
618	0.2832908492
619	0.2830632208
620	0.2828208242
621	0.2825661187
622	0.28234693
623	0.282136989
624	0.2819979292
625	0.281766297
626	0.2816375604
627	0.2814005291
628	0.281150495
629	0.2809607331
630	0.28070429
631	0.2804592717
632	0.2802123899
633	0.2800689712
634	0.2798926121
635	0.2796623754
636	0.2793941297
637	0.2792774035
638	0.2791438129
639	0.278942512
640	0.2787860893
641	0.2786487811
642	0.2784947435
643	0.2782739639
644	0.2781485904
645	0.2779032894
646	0.2777321416
647	0.27751501
648	0.2773791586
649	0.2771043331
650	0.2769220678
651	0.276683102
652	0.2764940867
653	0.2762728622
654	0.2760440516
655	0.2757980034
656	0.2756492247
657	0.2754117933
658	0.2751822609
659	0.2749303826
660	0.2747442589
661	0.2746081091
662	0.2743937648
663	0.2741408061
664	0.2740099765
665	0.2738484899
666	0.2736443841
667	0.273375298
668	0.2731120549
669	0.2729686585
670	0.2727723945
671	0.2724911813
672	0.2722587362
673	0.272047176
674	0.2719728228
675	0.2717412874
676	0.2715242913
677	0.271358662
678	0.2711790975
679	0.2709676144
680	0.2707691118
681	0.2705808368
682	0.2703717937
683	0.2702204541
684	0.2700960634
685	0.2698712263
686	0.2696221295
687	0.2694904778
688	0.2692628818
689	0.2690319462
690	0.2688554127
691	0.2686450156
692	0.2683923629
693	0.2682107662
694	0.2680304728
695	0.2678400179
696	0.2677254595
697	0.2675439904
698	0.2674490831
699	0.267234245
700	0.267036407
701	0.2668595417
702	0.2666840468
703	0.2665144892
704	0.2663378629
705	0.2662019414
706	0.2660916632
707	0.2659398034
708	0.2657902271
709	0.2656153717
710	0.2653912527
711	0.2651787224
712	0.2649988112
713	0.2648321297
714	0.2646710312
715	0.2644981351
716	0.2642531108
717	0.2640248469
718	0.2639059797
719	0.2637049166
720	0.263547113
721	0.2634082365
722	0.2632241881
723	0.2630976727
724	0.2629391223
725	0.2627935011
726	0.2625842439
727	0.2623675537
728	0.2622099344
729	0.2620217935
730	0.2618740382
731	0.2616496021
732	0.2615177938
733	0.2613900029
734	0.2612006947
735	0.2610226644
736	0.2608872422
737	0.2607455468
738	0.2605904956
739	0.2604029457
740	0.2602993104
741	0.2602027837
742	0.2600743299
743	0.2599327038
744	0.259894643
745	0.2597062832
746	0.2595262873
747	0.2593760272
748	0.2592011796
749	0.2590757048
750	0.2588803986
751	0.2587513792
752	0.2585654302
753	0.2583388914
754	0.2582389541
755	0.2580793114
756	0.2579047723
757	0.2577767622
758	0.2576168145
759	0.2575109005
760	0.2573891866
761	0.2572809687
762	0.2571545049
763	0.2570218554
764	0.2568458744
765	0.2566671782
766	0.2565558383
767	0.2564573104
768	0.2563694163
769	0.2561862899
770	0.2560049749
771	0.2558471988
772	0.2557086445
773	0.2555107994
774	0.255327492
775	0.2552058509
776	0.2550682059
777	0.2549285343
778	0.2548424031
779	0.2547374175
780	0.2547182572
781	0.2545623782
782	0.2544189639
783	0.2542759599
784	0.2541503198
785	0.2540296936
786	0.2538676764
787	0.2537320963
788	0.2535647618
789	0.2534656563
790	0.2533300924
791	0.2532853745
792	0.253173986
793	0.2530177574
794	0.2529002571
795	0.2527773073
796	0.2526298354
797	0.2525027656
798	0.2524310808
799	0.2523560326
800	0.2522229207
801	0.2521567946
802	0.2520605667
803	0.2519174053
804	0.251781691
805	0.2516435171
806	0.2515164045
807	0.2513850973
808	0.2513275385
809	0.251183532
810	0.2510334138
811	0.2509320905
812	0.2508575537
813	0.2506842515
814	0.2505355199
815	0.2503907496
816	0.2502622656
817	0.2501631996
818	0.2500738824
819	0.2499101048
820	0.249783382
821	0.2496276658
822	0.2495337519
823	0.249412495
824	0.249308044
825	0.2491620187
826	0.2490118649
827	0.2488850602
828	0.2487304429
829	0.2485564636
830	0.2484352898
831	0.2482739885
832	0.2481443338
833	0.2480126379
834	0.2478735066
835	0.247766407
836	0.2476799421
837	0.2475854228
838	0.2474893792
839	0.2473357859
840	0.2471860156
841	0.2470961857
842	0.2469399257
843	0.2468365703
844	0.2466803614
845	0.2465514205
846	0.2464776932
847	0.2463698277
848	0.2462459631
849	0.2460993064
850	0.2459154217
851	0.245812344
852	0.2456963326
853	0.2455497732
854	0.2454579292
855	0.2452900262
856	0.2451768541
857	0.2450570939
858	0.2449777243
859	0.2449518095
860	0.2448573523
861	0.2448067237
862	0.2446760237
863	0.2445887363
864	0.2444942532
865	0.2443675802
866	0.2443114476
867	0.2442022088
868	0.2440619279
869	0.243939995
870	0.2437958807
871	0.2437137247
872	0.2436093508
873	0.2435278724
874	0.2434815702
875	0.2433932763
876	0.2432549761
877	0.2431354021
878	0.2429967468
879	0.2428602698
880	0.2427463335
881	0.2426157992
882	0.2425342274
883	0.2423845121
884	0.2422027471
885	0.242088171
886	0.2420634758
887	0.2419552716
888	0.2418712996
889	0.2418062761
890	0.2417429412
891	0.241615923
892	0.2415556594
893	0.2414178277
894	0.241359234
895	0.2412372925
896	0.2410441463
897	0.2409556529
898	0.2408682744
899	0.240765146
900	0.2406729413
901	0.2405956812
902	0.2404935084
903	0.240354303
904	0.2402486173
905	0.240210962
906	0.2401236126
907	0.2399914595
908	0.2398926971
909	0.2398008341
910	0.2396895437
911	0.2395621645
912	0.2394601863
913	0.2393499309
914	0.239252165
915	0.2391373544
916	0.2390250983
917	0.2389351587
918	0.2388372515
919	0.2387701562
920	0.238651171
921	0.2385582422
922	0.2384398839
923	0.23835491
924	0.2382237952
925	0.2380886444
926	0.2379573541
927	0.2378595766
928	0.2376978384
929	0.2375868758
930	0.2374687449
931	0.2374109083
932	0.2372949072
933	0.2372340681
934	0.2371111993
935	0.2369960854
936	0.2369032857
937	0.2367675767
938	0.2366841394
939	0.2365565357
940	0.2363958297
941	0.2362736046
942	0.2361794543
943	0.236043474
944	0.2359773733
945	0.2358613322
946	0.2357778691
947	0.2357157365
948	0.235641651
949	0.2355151274
950	0.2354018098
951	0.2352557702
952	0.2351944557
953	0.2350558253
954	0.2349662788
955	0.2348486414
956	0.2347650513
957	0.2346775237
958	0.2346144626
959	0.2344470419
960	0.2343509799
961	0.2342770491
962	0.2341674056
963	0.2340834389
964	0.2339999162
965	0.2339179879
966	0.2338381282
967	0.2337695724
968	0.2336293838
969	0.233555576
970	0.2335013799
971	0.2334799814
972	0.2334072232
973	0.233289507
974	0.2332136139
975	0.2331209675
976	0.2330655354
977	0.2330132648
978	0.2329226964
979	0.2328174722
980	0.232694958
981	0.2325764412
982	0.2324142045
983	0.232379323
984	0.2322653715
985	0.2321941566
986	0.2321268324
987	0.2320300348
988	0.2318982055
989	0.2318075302
990	0.2316844485
991	0.2315760328
992	0.2315170993
993	0.2313710813
994	0.2313504458
995	0.2312374803
996	0.2311840182
997	0.2310970379
998	0.2310518779
999	0.230946984
